Index,Tile Size,Loop Order,User Time (s),System Time (s),Real Time (s)
152,16,i_tk_tj_tkij,0.47290699999999997,0.128974,0.6021544933319092
153,32,i_tk_tj_tkij,0.769251,0.12387899999999999,0.8942539691925049
154,64,i_tk_tj_tkij,0.8099409999999999,0.13399,0.9440984725952148
155,128,i_tk_tj_tkij,1.596276,0.133939,1.7304809093475342
156,256,i_tk_tj_tkij,2.247271,0.133956,2.381514310836792
157,8,i_tk_tj_tkji,0.513514,0.133873,0.6478977203369141
158,16,i_tk_tj_tkji,0.520264,0.12706399999999998,0.6475582122802734
159,32,i_tk_tj_tkji,0.8879549999999999,0.127993,1.0161175727844238
160,64,i_tk_tj_tkji,1.000137,0.129017,1.1298983097076416
161,128,i_tk_tj_tkji,2.208365,0.14002299999999998,2.3486011028289795
162,256,i_tk_tj_tkji,2.9272299999999998,0.142011,3.069563865661621
163,8,i_tk_tkij_tj,0.915049,0.140007,1.0553278923034668
164,16,i_tk_tkij_tj,1.082187,0.147889,1.2325687408447266
165,32,i_tk_tkij_tj,2.191543,0.134971,2.3276610374450684
166,64,i_tk_tkij_tj,2.436902,0.134994,2.5722599029541016
167,128,i_tk_tkij_tj,2.594705,0.151982,2.7470600605010986
168,256,i_tk_tkij_tj,2.3398,0.133988,2.474045991897583
169,8,i_tk_tkj_tij,0.735085,0.136829,0.8737382888793945
170,16,i_tk_tkj_tij,0.822533,0.138089,0.9609050750732422
171,32,i_tk_tkj_tij,1.679802,0.133063,1.8158574104309082
172,64,i_tk_tkj_tij,2.026092,0.141006,2.1673600673675537
173,128,i_tk_tkj_tij,2.092654,0.140976,2.2340049743652344
174,256,i_tk_tkj_tij,2.294906,0.14599399999999998,2.4413836002349854
175,8,i_tk_tkj_tji,0.73675,0.12595699999999999,0.8629250526428223
176,16,i_tk_tkj_tji,0.8728589999999999,0.135133,1.00834321975708
177,32,i_tk_tkj_tji,1.884518,0.140038,2.025050401687622
178,64,i_tk_tkj_tji,2.308819,0.132989,2.4420504570007324
179,128,i_tk_tkj_tji,2.822994,0.131999,2.9551780223846436
180,256,i_tk_tkj_tji,3.064334,0.140015,3.2047111988067627
181,8,j_ti_tijk_tk,0.286827,0.14091499999999998,0.4279906749725342
182,16,j_ti_tijk_tk,0.440459,0.128133,0.5687949657440186
183,32,j_ti_tijk_tk,0.43721,0.13206299999999999,0.5695087909698486
184,64,j_ti_tijk_tk,0.305774,0.135899,0.44195055961608887
185,128,j_ti_tijk_tk,0.31571299999999997,0.138312,0.45459938049316406
186,256,j_ti_tijk_tk,0.363494,0.12382699999999999,0.4875483512878418
187,8,j_ti_tik_tjk,0.142208,0.140205,0.2828521728515625
188,16,j_ti_tik_tjk,0.241831,0.136904,0.37896180152893066
189,32,j_ti_tik_tjk,0.308457,0.13319699999999998,0.4418964385986328
190,64,j_ti_tik_tjk,0.38633799999999996,0.130114,0.5166122913360596
191,128,j_ti_tik_tjk,0.30392399999999997,0.133966,0.43800973892211914
192,256,j_ti_tik_tjk,0.358154,0.131056,0.4894869327545166
193,8,j_ti_tik_tkj,0.171934,0.13594799999999999,0.30805087089538574
194,16,j_ti_tik_tkj,0.298163,0.130633,0.4300539493560791
195,32,j_ti_tik_tkj,0.351449,0.134788,0.4864542484283447
196,64,j_ti_tik_tkj,0.42804899999999996,0.132015,0.5602962970733643
197,128,j_ti_tik_tkj,0.466559,0.134161,0.600881814956665
198,256,j_ti_tik_tkj,0.539879,0.130212,0.6705360412597656
199,8,j_ti_tjik_tk,0.30588299999999996,0.12095399999999999,0.4270467758178711
200,16,j_ti_tjik_tk,0.43623199999999995,0.141075,0.5779428482055664
201,32,j_ti_tjik_tk,0.435413,0.136815,0.5724778175354004
202,64,j_ti_tjik_tk,0.295915,0.133961,0.43012046813964844
203,128,j_ti_tjik_tk,0.322735,0.13089199999999998,0.45441102981567383
204,256,j_ti_tjik_tk,0.37709899999999996,0.127033,0.5044124126434326
205,8,j_ti_tjk_tik,0.148038,0.13203399999999998,0.2809169292449951
206,16,j_ti_tjk_tik,0.23426,0.139155,0.3736753463745117
207,32,j_ti_tjk_tik,0.304065,0.126027,0.4302968978881836
208,64,j_ti_tjk_tik,0.378096,0.134034,0.512333869934082
209,128,j_ti_tjk_tik,0.299931,0.137968,0.43811988830566406
210,256,j_ti_tjk_tik,0.35395,0.14098,0.49518823623657227
211,8,j_ti_tjk_tki,0.243339,0.141196,0.3847463130950928
212,16,j_ti_tjk_tki,0.461955,0.147985,0.6107206344604492
213,32,j_ti_tjk_tki,0.663285,0.13505799999999998,0.7986388206481934
214,64,j_ti_tjk_tki,0.754706,0.137128,0.891972541809082
215,128,j_ti_tjk_tki,0.7941579999999999,0.129025,0.9233660697937012
216,256,j_ti_tjk_tki,0.9123159999999999,0.139048,1.0515766143798828
217,8,j_ti_tk_tijk,0.15686799999999998,0.133888,0.290924072265625
218,16,j_ti_tk_tijk,0.267194,0.14310399999999998,0.4105868339538574
219,32,j_ti_tk_tijk,0.33018,0.135073,0.46546030044555664
220,64,j_ti_tk_tijk,0.418157,0.136051,0.5549852848052979
221,128,j_ti_tk_tijk,0.323081,0.13103299999999998,0.4543170928955078
222,256,j_ti_tk_tijk,0.372772,0.126922,0.5000760555267334
223,8,j_ti_tk_tikj,0.19092099999999998,0.127947,0.3190321922302246
224,16,j_ti_tk_tikj,0.3339,0.141957,0.4761946201324463
225,32,j_ti_tk_tikj,0.409773,0.132926,0.5428853034973145
226,64,j_ti_tk_tikj,0.44116,0.147053,0.5884225368499756
227,128,j_ti_tk_tikj,0.496183,0.127047,0.623406171798706
228,256,j_ti_tk_tikj,0.550033,0.139008,0.6901538372039795
229,8,j_ti_tk_tjik,0.162886,0.134905,0.2979867458343506
230,16,j_ti_tk_tjik,0.285888,0.12894899999999998,0.41506338119506836
231,32,j_ti_tk_tjik,0.355133,0.126047,0.4814019203186035
232,64,j_ti_tk_tjik,0.427612,0.140872,0.5687730312347412
233,128,j_ti_tk_tjik,0.369979,0.138992,0.5091326236724854
234,256,j_ti_tk_tjik,0.39325499999999997,0.136088,0.529569149017334
235,8,j_ti_tk_tjki,0.255732,0.136857,0.3928048610687256
236,16,j_ti_tk_tjki,0.495588,0.15087399999999998,0.6467368602752686
237,32,j_ti_tk_tjki,0.606322,0.138073,0.7446093559265137
238,64,j_ti_tk_tjki,0.823027,0.13516799999999998,0.9585726261138916
239,128,j_ti_tk_tjki,0.909906,0.127986,1.0380914211273193
240,256,j_ti_tk_tjki,0.850549,0.143092,0.9938735961914062
241,8,j_ti_tk_tkij,0.315775,0.141899,0.4578390121459961
242,16,j_ti_tk_tkij,0.434488,0.13584,0.570563793182373
243,32,j_ti_tk_tkij,0.7402489999999999,0.140047,0.880563497543335
244,64,j_ti_tk_tkij,0.7894399999999999,0.133074,0.922766923904419
245,128,j_ti_tk_tkij,1.605397,0.13311499999999998,1.7390494346618652
246,256,j_ti_tk_tkij,2.289036,0.139002,2.4283041954040527
247,8,j_ti_tk_tkji,0.334932,0.127974,0.46311020851135254
248,16,j_ti_tk_tkji,0.518887,0.130971,0.6499912738800049
249,32,j_ti_tk_tkji,0.836117,0.14301999999999998,0.9794044494628906
250,64,j_ti_tk_tkji,0.913075,0.13201,1.0453221797943115
251,128,j_ti_tk_tkji,2.206391,0.144025,2.350560426712036
252,256,j_ti_tk_tkji,2.901493,0.133022,3.0348517894744873
253,8,j_tji_tik_tk,0.30103399999999997,0.136015,0.43729114532470703
254,16,j_tji_tik_tk,0.44022799999999995,0.140072,0.5804903507232666
255,32,j_tji_tik_tk,0.449459,0.13713999999999998,0.5868322849273682
256,64,j_tji_tik_tk,0.304423,0.136741,0.4413158893585205
257,128,j_tji_tik_tk,0.326592,0.162294,0.4893338680267334
258,256,j_tji_tik_tk,0.371712,0.127243,0.49944281578063965
259,8,j_tji_tk_tik,0.154323,0.136402,0.29146265983581543
260,16,j_tji_tk_tik,0.270871,0.12594,0.39699721336364746
261,32,j_tji_tk_tik,0.315031,0.130013,0.4451923370361328
262,64,j_tji_tk_tik,0.372971,0.140989,0.5143272876739502
263,128,j_tji_tk_tik,0.30211099999999996,0.13905099999999998,0.44138145446777344
264,256,j_tji_tk_tik,0.372893,0.126963,0.5000953674316406
265,8,j_tji_tk_tki,0.25261,0.139784,0.39375853538513184
266,16,j_tji_tk_tki,0.43534999999999996,0.132106,0.568490743637085
267,32,j_tji_tk_tki,0.617718,0.143166,0.7610442638397217
268,64,j_tji_tk_tki,0.792009,0.129001,0.9211940765380859
269,128,j_tji_tk_tki,0.8885,0.135076,1.023822546005249
